title,id,funding_type,program,status,grant_or_tender,topic,deadline_model,opening_date,closing_date
Pilot line(s) for 2D materials-based devices (RIA),HORIZON-CL4-2024-DIGITAL-EMERGING-01-31,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
P2R First Call for Regions and Communities,PEERS,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-MISS-2021-CLIMA-02-02,single-stage,22 November 2023,27 February 2024 17:00:00 Brussels time
Restore4Life Open Call for Associated Regions,Restore4Life,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-MISS-2022-OCEAN-01-02,single-stage,01 February 2024,29 May 2024 17:00:00 Brussels time
DaWetRest – CALL FOR ASSOCIATED REGIONS,DaWetRest,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-MISS-2022-OCEAN-01-02,single-stage,01 January 2024,30 April 2024 17:00:00 Brussels time
Harmonised / Standard protocols for the implementation of alert and impact forecasting systems as well as transnational emergency management in the areas of high-impact weather / climatic and geological disasters,HORIZON-CL3-2024-DRS-01-03,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
Hi-tech capacities for crisis response and recovery after a natural-technological (NaTech) disaster,HORIZON-CL3-2024-DRS-01-04,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
Approaches and tools for security in software and hardware development and assessment,HORIZON-CL3-2024-CS-01-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
Post-quantum cryptography transition,HORIZON-CL3-2024-CS-01-02,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
BIM-based processes and digital twins for facilitating and optimising circular energy renovation (Built4People Partnership),HORIZON-CL5-2024-D4-02-03,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
"Size & weight reduction of cell and packaging of batteries system, integrating lightweight and functional materials, innovative thermal management and safe and sustainable by design approach (Batt4EU Partnership)",HORIZON-CL5-2024-D2-02-03,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,07 May 2024,5 September 2024 17:00:00 Brussels time
"Development of smart concepts of integrated energy driven bio-refineries for co-production of advanced biofuels, bio-chemicals and biomaterials",HORIZON-CL5-2024-D3-02-03,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
Post-Li-ion technologies and relevant manufacturing techniques for mobility applications (Generation 5) (Batt4EU Partnership),HORIZON-CL5-2024-D2-02-02,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,07 May 2024,5 September 2024 17:00:00 Brussels time
ERA Talents,HORIZON-WIDERA-2024-TALENTS-03-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Coordination and Support Actions,single-stage,11 April 2024,26 September 2024 17:00:00 Brussels time
CCU for the production of fuels,HORIZON-CL5-2024-D3-02-11,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
Critical technologies for the future ocean energy farms,HORIZON-CL5-2024-D3-02-04,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
Detection and tracking of illegal and trafficked goods,HORIZON-CL3-2024-BM-01-05,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
Resilient and secure urban planning and new tools for EU territorial entities,HORIZON-CL3-2024-INFRA-01-02,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
MSCA International Cooperation 2024,HORIZON-MSCA-2024-INCO-01-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Coordination and Support Actions,single-stage,14 May 2024,4 September 2024 17:00:00 Brussels time
Sustainable high-throughput production processes for stable lithium metal anodes for next generation batteries (Batt4EU Partnership),HORIZON-CL5-2024-D2-02-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,07 May 2024,5 September 2024 17:00:00 Brussels time
Market Uptake Measures of renewable energy systems,HORIZON-CL5-2024-D3-02-10,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Coordination and Support Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
MSCA COFUND 2024,HORIZON-MSCA-2024-COFUND-01-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,"HORIZON TMA MSCA Cofund Doctoral programme, HORIZON TMA MSCA Cofund Postdoctoral programme",single-stage,08 October 2024,6 February 2025 17:00:00 Brussels time
"Innovative, Community-Integrated PV systems",HORIZON-CL5-2024-D3-02-06,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
"Resource Efficiency of PV in Production, Use and Disposal",HORIZON-CL5-2024-D3-02-07,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Coordination and Support Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
MSCA Staff Exchanges 2024,HORIZON-MSCA-2024-SE-01-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON TMA MSCA Staff Exchanges,single-stage,10 October 2024,5 March 2025 17:00:00 Brussels time
MSCA Doctoral Networks 2024,HORIZON-MSCA-2024-DN-01-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,"HORIZON TMA MSCA Doctoral Networks, HORIZON TMA MSCA Doctoral Networks - Industrial Doctorates, HORIZON TMA MSCA Doctoral Networks - Joint Doctorates",single-stage,29 May 2024,27 November 2024 17:00:00 Brussels time
MSCA Researchers at Risk 2024,HORIZON-MSCA-2024-RR-01-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Coordination and Support Actions,single-stage,12 September 2024,14 January 2025 17:00:00 Brussels time
Trans-national cooperation among Marie Skłodowska-Curie National Contact Points (NCP) 2024,HORIZON-MSCA-2024-NCP-01-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Coordination and Support Actions,single-stage,16 May 2024,4 September 2024 17:00:00 Brussels time
Open Topic,HORIZON-CL3-2024-DRS-01-02,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
Tracing of cryptocurrencies transactions related to criminal purposes,HORIZON-CL3-2024-FCT-01-08,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
Combating hate speech online and offline,HORIZON-CL3-2024-FCT-01-05,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
"Integrated risk-based border control that mitigates public security risk, reduces false positives and strengthens privacy",HORIZON-CL3-2024-BM-01-04,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
PV-integrated electric mobility applications,HORIZON-CL5-2024-D3-02-05,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
Mutual learning and support scheme for national and regional innovation programmes,HORIZON-EIE-2024-CONNECT-02-02,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Coordination and Support Actions,single-stage,06 June 2024,19 September 2024 17:00:00 Brussels time
Expanding Academia-Enterprise Collaborations,HORIZON-EIE-2024-CONNECT-02-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Coordination and Support Actions,single-stage,06 June 2024,19 September 2024 17:00:00 Brussels time
"Advanced user-friendly, compatible, secure identity and travel document management",HORIZON-CL3-2024-BM-01-03,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
"Prevention, detection, response and mitigation of chemical, biological and radiological threats to agricultural production, feed and food processing, distribution and consumption",HORIZON-CL3-2024-DRS-01-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
"Design for adaptability, re-use and deconstruction of buildings, in line with the principles of circular economy (Built4People Partnership)",HORIZON-CL5-2024-D4-02-04,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
Demand-led innovation through public procurement,HORIZON-CL3-2024-SSRI-01-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Pre-commercial Procurement,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
Open Topic,HORIZON-CL3-2024-FCT-01-06,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
Open Topic,HORIZON-CL3-2024-INFRA-01-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
Interoperability for border and maritime surveillance and situational awareness,HORIZON-CL3-2024-BM-01-02,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
Facilitate the engagement in global ICT standardisation development (CSA),HORIZON-CL4-2024-HUMAN-01-61,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Coordination and Support Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
Explainable and Robust AI (AI Data and Robotics Partnership) (RIA),HORIZON-CL4-2024-HUMAN-01-06,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
Advanced real-time data analysis used for infrastructure resilience,HORIZON-CL3-2024-INFRA-01-03,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
Cost-effective sustainable technologies and crisis management strategies for RN large-scale protection of population and infrastructures after a nuclear blast or nuclear facility incident,HORIZON-CL3-2024-DRS-01-05,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
"Robotics and other automated solutions for construction, renovation and maintenance in a sustainable built environment (Built4People Partnership)",HORIZON-CL5-2024-D4-02-02,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
"Support for transnational activities of National Contact Points in the thematic areas of Digital, Industry and Space",HORIZON-CL4-2024-HUMAN-02-34,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Coordination and Support Actions,single-stage,03 April 2024,10 September 2024 17:00:00 Brussels time
"Minimisation of environmental, and optimisation of socio-economic impacts in the deployment, operation and decommissioning of offshore wind farms",HORIZON-CL5-2024-D3-02-08,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
Accelerating uptake through open proposals for advanced SME innovation,HORIZON-CL3-2024-SSRI-01-02,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
Open Topic,HORIZON-CL3-2024-FCT-01-02,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
CBRN-E detection capacities in small architecture,HORIZON-CL3-2024-FCT-01-07,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
"Lawful evidence collection in online child sexual abuse investigations, including undercover",HORIZON-CL3-2024-FCT-01-03,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
Mitigating new threats and adapting investigation strategies in the era of Internet of Things,HORIZON-CL3-2024-FCT-01-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
Open Topic,HORIZON-CL3-2024-BM-01-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
Demonstrations of innovative floating wind concepts,HORIZON-CL5-2024-D3-02-09,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
Development of next generation synthetic renewable fuel technologies,HORIZON-CL5-2024-D3-02-02,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
Collaborative intelligence – combining the best of machine and human (AI Data and Robotics Partnership) (RIA),HORIZON-CL4-2024-HUMAN-01-07,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
Radicalisation and gender,HORIZON-CL3-2024-FCT-01-04,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,27 June 2024,20 November 2024 17:00:00 Brussels time
Industrialisation of sustainable and circular deep renovation workflows (Built4People Partnership),HORIZON-CL5-2024-D4-02-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
Digital tools for CSP and solar thermal plants,HORIZON-CL5-2024-D3-02-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
"Digital solutions to foster participative design, planning and management of buildings, neighbourhoods and urban districts (Built4People Partnership)",HORIZON-CL5-2024-D4-02-05,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
European Partnership: One Health Anti-Microbial Resistance,HORIZON-HLTH-2024-DISEASE-09-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Programme Cofund Actions,single-stage,25 April 2024,25 September 2024 17:00:00 Brussels time
MSCA Postdoctoral Fellowships 2024,HORIZON-MSCA-2024-PF-01-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,"HORIZON TMA MSCA Postdoctoral Fellowships - European Fellowships, HORIZON TMA MSCA Postdoctoral Fellowships - Global Fellowships",single-stage,10 April 2024,11 September 2024 17:00:00 Brussels time
"Effects of disruptive changes in transport: towards resilient, safe and energy efficient mobility",HORIZON-CL5-2024-D6-01-11,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,07 May 2024,5 September 2024 17:00:00 Brussels time
A new framework to improve traffic safety culture in the EU,HORIZON-CL5-2024-D6-01-12,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,07 May 2024,5 September 2024 17:00:00 Brussels time
Scenario-based safety assurance of CCAM and related HMI in a dynamically evolving transport system (CCAM Partnership),HORIZON-CL5-2024-D6-01-02,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,07 May 2024,5 September 2024 17:00:00 Brussels time
Orchestration of heterogeneous actors in mixed traffic within the CCAM ecosystem (CCAM Partnership),HORIZON-CL5-2024-D6-01-03,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,07 May 2024,5 September 2024 17:00:00 Brussels time
Robust Knowledge and Know-How transfer for Key-Deployment Pathways and implementation of the EU-CEM (CCAM Partnership),HORIZON-CL5-2024-D6-01-05,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Coordination and Support Actions,single-stage,07 May 2024,5 September 2024 17:00:00 Brussels time
Improved transport infrastructure performance – Innovative digital tools and solutions to monitor and improve the management and operation of transport infrastructure,HORIZON-CL5-2024-D6-01-08,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,07 May 2024,5 September 2024 17:00:00 Brussels time
"Ensuring the safety, resilience and security of waterborne digital systems",HORIZON-CL5-2024-D6-01-10,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,07 May 2024,5 September 2024 17:00:00 Brussels time
"Centralised, reliable, cyber-secure & upgradable in-vehicle electronic control architectures for CCAM connected to the cloud-edge continuum (CCAM Partnership)",HORIZON-CL5-2024-D6-01-01,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,07 May 2024,5 September 2024 17:00:00 Brussels time
"Optimising multimodal network and traffic management, harnessing data from infrastructures, mobility of passengers and freight transport",HORIZON-CL5-2024-D6-01-06,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,07 May 2024,5 September 2024 17:00:00 Brussels time
Scaling up logistics innovations supporting freight transport decarbonisation in an affordable way,HORIZON-CL5-2024-D6-01-07,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,07 May 2024,5 September 2024 17:00:00 Brussels time
Policies and governance shaping the future transport and mobility systems,HORIZON-CL5-2024-D6-01-09,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,07 May 2024,5 September 2024 17:00:00 Brussels time
AI for advanced and collective perception and decision making for CCAM applications (CCAM Partnership),HORIZON-CL5-2024-D6-01-04,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Research and Innovation Actions,single-stage,07 May 2024,5 September 2024 17:00:00 Brussels time
Call for Expression of Interest for Travel Vouchers to attend the IN TRANSIT Matchmaking & Info Day in Graz,In Transit,Cascade funding,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON-CL4-2022-RESILIENCE-01-26,single-stage,28 February 2024,8 April 2024 17:00:00 Brussels time
DACCS and BECCS for CO2 removal/negative emissions,HORIZON-CL5-2024-D3-02-12,Call for proposal,Horizon Europe (HORIZON),Forthcoming,Grant,HORIZON Innovation Actions,single-stage,17 September 2024,21 January 2025 17:00:00 Brussels time
